date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),Plant Name,State,max_withdrawal_rate_kgM
2016-01-01,6000,0.0,120910336243.2,120910336243.2,0.0,6.111111111111112,11.11111111111111,17.77777777777778,73.0,2285.3,Donald C Cook,MI,463459050722.30396
2016-01-01,6000,0.0,121286312179.19998,121286312179.19998,0.0,5.0,10.0,17.22222222222222,73.0,2285.3,Donald C Cook,MI,463459050722.30396
2016-02-01,6000,0.0,121806246182.4,121806246182.4,0.0,5.555555555555555,7.777777777777779,16.666666666666668,66.0,2285.3,Donald C Cook,MI,433558466804.73596
2016-02-01,6000,0.0,121105476633.59999,121105476633.59999,0.0,4.444444444444445,7.222222222222222,16.666666666666668,67.0,2285.3,Donald C Cook,MI,433558466804.73596
2016-03-01,6000,0.0,88261861593.59999,88261861593.59999,0.0,7.777777777777779,10.0,17.77777777777778,72.0,2285.3,Donald C Cook,MI,463459050722.30396
2016-03-01,6000,0.0,121000637606.40001,121000637606.40001,0.0,6.666666666666667,8.333333333333334,18.88888888888889,70.0,2285.3,Donald C Cook,MI,463459050722.30396
2016-04-01,6000,0.0,33046952831.999996,33046952831.999996,0.0,7.777777777777779,12.777777777777779,12.777777777777779,69.0,2285.3,Donald C Cook,MI,448508758763.51996
2016-04-01,6000,0.0,116993272320.0,116993272320.0,0.0,7.222222222222222,11.11111111111111,20.0,75.0,2285.3,Donald C Cook,MI,448508758763.51996
2016-05-01,6000,0.0,125534168870.4,125534168870.4,0.0,15.0,20.0,26.666666666666668,90.0,2285.3,Donald C Cook,MI,463459050722.30396
2016-05-01,6000,0.0,132977317478.4,132977317478.4,0.0,13.333333333333334,18.88888888888889,25.0,83.0,2285.3,Donald C Cook,MI,463459050722.30396
2016-06-01,6000,0.0,121045625856.0,121045625856.0,0.0,20.555555555555557,24.444444444444446,32.22222222222222,97.0,2285.3,Donald C Cook,MI,448508758763.51996
2016-06-01,6000,0.0,153073967616.0,153073967616.0,0.0,18.88888888888889,23.333333333333336,28.88888888888889,91.0,2285.3,Donald C Cook,MI,448508758763.51996
2016-07-01,6000,0.0,121624690521.6,121624690521.6,0.0,24.444444444444446,27.222222222222225,36.111111111111114,104.0,2285.3,Donald C Cook,MI,463459050722.30396
2016-07-01,6000,0.0,132582710591.99998,132582710591.99998,0.0,22.77777777777778,25.555555555555557,30.0,95.0,2285.3,Donald C Cook,MI,463459050722.30396
2016-08-01,6000,0.0,120459332966.40001,120459332966.40001,0.0,23.88888888888889,27.222222222222225,36.111111111111114,103.0,2285.3,Donald C Cook,MI,463459050722.30396
2016-08-01,6000,0.0,147337416230.40002,147337416230.40002,0.0,22.22222222222222,26.11111111111111,32.77777777777778,97.0,2285.3,Donald C Cook,MI,463459050722.30396
2016-09-01,6000,0.0,118955613311.99998,118955613311.99998,0.0,21.666666666666668,26.666666666666668,33.333333333333336,101.0,2285.3,Donald C Cook,MI,448508758763.51996
2016-09-01,6000,0.0,150983792640.0,150983792640.0,0.0,20.0,25.0,30.0,95.0,2285.3,Donald C Cook,MI,448508758763.51996
2016-10-01,6000,0.0,125564213376.0,125564213376.0,0.0,17.22222222222222,19.444444444444446,28.88888888888889,89.0,2285.3,Donald C Cook,MI,463459050722.30396
2016-10-01,6000,0.0,25340610240.0,25340610240.0,0.0,16.666666666666668,19.444444444444446,20.0,76.0,2285.3,Donald C Cook,MI,463459050722.30396
2016-11-01,6000,0.0,114519757823.99998,114519757823.99998,0.0,12.777777777777779,15.555555555555557,25.555555555555557,80.0,2285.3,Donald C Cook,MI,448508758763.51996
2016-11-01,6000,0.0,0.0,0.0,0.0,-17.77777777777778,-17.77777777777778,-17.77777777777778,0.0,2285.3,Donald C Cook,MI,448508758763.51996
2016-12-01,6000,0.0,129082777459.19998,129082777459.19998,0.0,6.111111111111112,9.444444444444445,17.22222222222222,69.0,2285.3,Donald C Cook,MI,463459050722.30396
2016-12-01,6000,0.0,0.0,0.0,0.0,-17.77777777777778,-17.77777777777778,-17.77777777777778,0.0,2285.3,Donald C Cook,MI,463459050722.30396
2017-01-01,6000,0.0,121673869516.8,121673869516.8,0.0,5.555555555555555,8.333333333333334,17.22222222222222,68.0,2285.3,Donald C Cook,MI,463459050722.30396
2017-01-01,6000,0.0,147818967552.0,147818967552.0,0.0,4.444444444444445,6.666666666666667,12.777777777777779,61.0,2285.3,Donald C Cook,MI,463459050722.30396
2017-02-01,6000,0.0,108057000038.4,108057000038.4,0.0,6.111111111111112,11.11111111111111,18.333333333333336,73.0,2285.3,Donald C Cook,MI,418608174845.95197
2017-02-01,6000,0.0,133393836441.6,133393836441.6,0.0,5.0,9.444444444444445,15.0,67.0,2285.3,Donald C Cook,MI,418608174845.95197
2017-03-01,6000,0.0,123906898022.4,123906898022.4,0.0,7.222222222222222,9.444444444444445,18.333333333333336,70.0,2285.3,Donald C Cook,MI,463459050722.30396
2017-03-01,6000,0.0,148491863769.59998,148491863769.59998,0.0,6.666666666666667,8.333333333333334,16.11111111111111,64.0,2285.3,Donald C Cook,MI,463459050722.30396
2017-04-01,6000,0.0,113816752127.99998,113816752127.99998,0.0,11.11111111111111,13.333333333333334,23.333333333333336,80.0,2285.3,Donald C Cook,MI,448508758763.51996
2017-04-01,6000,0.0,142612209792.0,142612209792.0,0.0,10.0,12.222222222222223,20.0,72.0,2285.3,Donald C Cook,MI,448508758763.51996
2017-05-01,6000,0.0,121338512409.59999,121338512409.59999,0.0,13.88888888888889,18.88888888888889,25.555555555555557,87.0,2285.3,Donald C Cook,MI,463459050722.30396
2017-05-01,6000,0.0,161674520025.59998,161674520025.59998,0.0,12.777777777777779,17.22222222222222,21.666666666666668,79.0,2285.3,Donald C Cook,MI,463459050722.30396
2017-06-01,6000,0.0,117634553856.0,117634553856.0,0.0,21.11111111111111,23.88888888888889,33.333333333333336,97.0,2285.3,Donald C Cook,MI,448508758763.51996
2017-06-01,6000,0.0,157068495360.0,157068495360.0,0.0,20.555555555555557,22.77777777777778,29.444444444444446,90.0,2285.3,Donald C Cook,MI,448508758763.51996
