,Arkansas Nuclear One,Beaver Valley,Braidwood Generation Station,Browns Ferry,Brunswick,Byron Generating Station,Callaway,Calvert Cliffs Nuclear Power Plant,Catawba,Clinton Power Station,Columbia Generating Station,Comanche Peak,Cooper,Crystal River,Davis Besse,Diablo Canyon,Donald C Cook,Dresden Generating Station,Duane Arnold,Edwin I Hatch,Fermi,Fort Calhoun,Grand Gulf,H B Robinson,Harris,Indian Point 2,Indian Point 3,James A Fitzpatrick,Joseph M Farley,Kewaunee,LaSalle Generating Station,Limerick,McGuire,Millstone,Monticello,Nine Mile Point Nuclear Station,North Anna,Oconee,Oyster Creek,PPL Susquehanna,PSEG Hope Creek Generating Station,PSEG Salem Generating Station,Palisades,Palo Verde,Peach Bottom,Perry,Pilgrim Nuclear Power Station,Point Beach,Prairie Island,Quad Cities Generating Station,R. E. Ginna Nuclear Power Plant,River Bend Station,San Onofre,Seabrook,Sequoyah,South Texas Project,St Lucie,Surry,Three Mile Island,Turkey Point,V C Summer,Vermont Yankee,Vogtle,Waterford 3,Watts Bar Nuclear Plant,Wolf Creek Generating Station
2007 0101 01,0.0,0.0,0.0,32.65,8.0,0.0,0,0.0,6.5,4,0,0.0,0,0.0,0,0.0,0.0,2.0,2.0,10.04,0,0.0,0,0,0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,2.0,0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007 0102 02,0.0,0.0,0.0,32.65,9.99,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,1.5,0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007 0103 03,0.0,0.0,0.0,32.65,2.5,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,1.5,0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007 0104 04,0.0,0.0,0.0,32.98,4.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.5,2.0,0.0,6,0.0,0,0,0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,50.0,0.0,0.0,0.0,0,1.02,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,1.5,0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007 0105 05,0.0,0.0,0.0,32.98,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.0,2.0,0.0,0,0.0,0,1,0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,20.0,0.0,0.0,0.0,0,0.0,0,0.68,0.0,0,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007 0106 06,0.0,0.0,0.0,32.98,0.0,0.0,0,0.0,45.5,4,0,0.0,0,0.0,0,0.0,0.0,2.5,6.0,7.97,0,0.0,0,0,0,0.0,0.0,0,1.01,36.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.51,0,0.0,9,0.0,0.0,41,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,44.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007 0107 07,0.0,0.0,0.0,33.32,0.0,0.0,0,0.0,37.5,4,0,0.0,0,0.0,0,0.0,0.0,13.5,2.0,12.95,14,0.0,0,0,0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,7,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,50.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007 0108 08,0.0,0.0,0.0,32.65,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.5,2.0,6.47,0,0.0,0,0,0,0.0,0.0,0,0.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,15.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007 0109 09,0.0,0.0,0.0,32.65,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
2007 0110 10,0.0,0.0,0.0,32.65,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
