date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),max_withdrawal_rate_kgM,elc_mmbtu_in,elc_mwh_out,elc_in_kj,elc_out_kj,modeled_discharge_temp,R_combined,temp_limit
2016-01-31,6011.0,0.0,401515276377.6,401515276377.6,0.0,7.777777777777779,12.222222222222223,13.333333333333334,65.0,1850.4,402889953499.776,13356140.0,1277060.0,14092058616647.127,4597416000000.0,13.433608222109632,0.0,32.0
2016-02-29,6011.0,0.0,293874454195.2,293874454195.2,0.0,4.444444444444445,6.666666666666667,5.0,55.0,1850.4,376897053273.984,9472394.0,905712.0,9994319577960.14,3260563200000.0,9.924884057994612,0.0,32.0
2016-03-31,6011.0,0.0,356233674585.6,356233674585.6,0.0,7.777777777777779,11.666666666666668,13.333333333333334,64.0,1850.4,402889953499.776,11312841.0,1081688.0,11936174560375.146,3894076800000.0,13.177286037597584,0.0,32.0
2016-04-30,6011.0,0.0,387482997888.0,387482997888.0,0.0,13.88888888888889,16.666666666666668,19.444444444444446,73.0,1850.4,389893503386.8799,13394146.0,1280694.0,14132158733880.422,4610498400000.0,19.76621604696111,0.0,32.0
2016-05-31,6011.0,0.0,403297637299.2,403297637299.2,0.0,17.22222222222222,20.55555555555556,22.77777777777778,80.0,1850.4,402889953499.776,13721194.0,1311965.0,14477226963657.68,4723074000000.0,23.006960525336336,0.0,32.0
2016-06-30,6011.0,0.0,377254167552.0,377254167552.0,0.0,23.88888888888889,27.77777777777778,30.0,93.0,1850.4,389893503386.8799,12889314.0,1232424.0,13599510668229.777,4436726400000.0,29.698047678534586,0.0,32.0
2016-07-31,6011.0,0.0,403297637299.2,403297637299.2,0.0,28.333333333333336,31.111111111111114,34.44444444444444,99.0,1850.4,402889953499.776,13394146.0,1280694.0,14132158733880.422,4610498400000.0,33.98019097928786,0.0,32.0
2016-08-31,6011.0,0.0,403297637299.2,403297637299.2,0.0,30.55555555555556,31.111111111111114,36.11111111111112,99.0,1850.4,402889953499.776,13271761.0,1268992.0,14003030363423.213,4568371200000.0,36.150816819432144,0.0,32.0
2016-09-30,6011.0,0.0,389566025856.0,389566025856.0,0.0,26.666666666666668,28.88888888888889,32.77777777777778,96.0,1850.4,389893503386.8799,12983294.0,1241410.0,13698668933177.023,4469076000000.0,32.33325032205229,0.0,32.0
2016-10-31,6011.0,0.0,401831163302.4,401831163302.4,0.0,21.11111111111111,24.444444444444446,27.77777777777778,88.0,1850.4,402889953499.776,13643916.0,1304576.0,14395690973036.342,4696473600000.0,26.884262024951706,0.0,32.0
2016-11-30,6011.0,0.0,386456590080.0,386456590080.0,0.0,15.0,18.333333333333336,21.666666666666668,77.0,1850.4,389893503386.8799,13385423.0,1279860.0,14122955099648.3,4607496000000.0,20.889099089444958,0.0,32.0
2016-12-31,6011.0,0.0,402564316377.6,402564316377.6,0.0,9.444444444444445,12.77777777777778,15.0,66.0,1850.4,402889953499.776,13544832.0,1295102.0,14291147479484.174,4662367200000.0,15.165232167021848,0.0,32.0
2017-01-31,6011.0,0.0,403180984051.1999,403180984051.1999,0.0,5.0,7.777777777777779,11.666666666666668,57.0,1850.4,402889953499.776,13908245.0,1329771.0,14674584407971.863,4787175600000.0,10.865462775664628,0.0,32.0
2017-02-28,6011.0,0.0,257725440000.0,257725440000.0,0.0,5.0,7.777777777777779,11.666666666666668,58.0,1850.4,363900603161.088,8928905.0,853695.0,9420884525205.158,3073302000000.0,10.890754159367834,0.0,32.0
2017-03-31,6011.0,0.0,403180984051.1999,403180984051.1999,0.0,7.222222222222222,10.555555555555555,13.88888888888889,62.0,1850.4,402889953499.776,12717922.0,1215964.0,13418675029308.322,4377470400000.0,12.5856951229905,0.0,32.0
2017-04-30,6011.0,0.0,390288036096.0,390288036096.0,0.0,12.222222222222223,17.77777777777778,18.88888888888889,75.0,1850.4,389893503386.8799,13536057.0,1294186.0,14281888980070.34,4659069600000.0,18.11930098049233,0.0,32.0
2017-05-31,6011.0,0.0,403297637299.2,403297637299.2,0.0,15.0,21.666666666666668,21.666666666666668,82.0,1850.4,402889953499.776,13895505.0,1328553.0,14661142438452.52,4782790800000.0,20.8583948096256,0.0,32.0
2017-06-30,6011.0,0.0,389836800000.0,389836800000.0,0.0,22.22222222222222,27.222222222222225,28.333333333333336,92.0,1850.4,389893503386.8799,13294984.0,1271137.0,14027532942555.686,4576093200000.0,28.020980010695148,0.0,32.0
2017-07-31,6011.0,0.0,403297637299.2,403297637299.2,0.0,27.222222222222225,30.0,32.77777777777778,97.0,1850.4,402889953499.776,13583311.0,1298704.0,14331746658851.113,4675334400000.0,32.94899502069698,0.0,32.0
2017-08-31,6011.0,0.0,403297637299.2,403297637299.2,0.0,26.666666666666668,28.88888888888889,32.77777777777778,95.0,1850.4,402889953499.776,13530618.0,1293666.0,14276150293083.234,4657197600000.0,32.37122392415874,0.0,32.0
2017-09-30,6011.0,0.0,390288036096.0,390288036096.0,0.0,24.444444444444446,26.11111111111111,30.55555555555556,90.0,1850.4,389893503386.8799,13237062.0,1265599.0,13966419460726.848,4556156400000.0,30.2112639402023,0.0,32.0
2017-10-31,6011.0,0.0,402947845401.6,402947845401.6,0.0,21.666666666666668,25.0,28.333333333333336,89.0,1850.4,402889953499.776,13770017.0,1316555.0,14528740093786.635,4739598000000.0,27.477195051406916,0.0,32.0
2017-11-30,6011.0,0.0,388595981952.00006,388595981952.00006,0.0,14.444444444444445,19.444444444444446,20.55555555555556,79.0,1850.4,389893503386.8799,13550458.0,1295563.0,14297083470105.51,4664026800000.0,20.373501668278386,0.0,32.0
2017-12-31,6011.0,0.0,400733280000.0,400733280000.0,0.0,8.88888888888889,13.88888888888889,15.0,69.0,1850.4,402889953499.776,14052831.0,1343595.0,14827137045720.984,4836942000000.0,14.851526135959519,0.0,32.0
2018-01-31,6011.0,0.0,403297637299.2,403297637299.2,0.0,2.2222222222222223,5.0,8.88888888888889,52.0,1850.4,402889953499.776,14075490.0,1346338.0,14851044548651.816,4846816800000.0,8.155268347941584,0.0,32.0
2018-02-28,6011.0,0.0,293941776844.8,293941776844.8,0.0,3.333333333333333,6.111111111111112,10.0,55.0,1850.4,363900603161.088,10036839.0,960036.0,10589865298944.9,3456129600000.0,9.137976568051776,0.0,32.0
2018-03-31,6011.0,0.0,315061624051.19995,315061624051.19995,0.0,5.555555555555555,8.88888888888889,12.77777777777778,60.0,1850.4,402889953499.776,10164856.0,972281.0,10724935990621.336,3500211600000.0,11.040163764611139,0.0,32.0
2018-04-30,6011.0,0.0,390288036096.0,390288036096.0,0.0,9.444444444444445,15.0,15.0,70.0,1850.4,389893503386.8799,13460099.0,1287475.0,14201745720984.76,4634910000000.0,15.307215165354151,0.0,32.0
2018-05-31,6011.0,0.0,402947845401.6,402947845401.6,0.0,16.11111111111111,22.77777777777778,22.77777777777778,84.0,1850.4,402889953499.776,13945591.0,1333913.0,14713988159437.28,4802086800000.0,21.9945055540533,0.0,32.0
2018-06-30,6011.0,0.0,386227236096.0,386227236096.0,0.0,21.666666666666668,26.666666666666668,28.333333333333336,92.0,1850.4,389893503386.8799,13345558.0,1276519.0,14080893552168.816,4595468400000.0,27.54066390028558,0.0,32.0
2018-07-31,6011.0,0.0,403297637299.2,403297637299.2,0.0,26.11111111111111,28.88888888888889,32.22222222222222,96.0,1850.4,402889953499.776,13629705.0,1303698.0,14380696951934.35,4693312800000.0,31.85625191108288,0.0,32.0
