date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),max_withdrawal_rate_kgM,elc_mmbtu_in,elc_mwh_out,elc_in_kj,elc_out_kj,modeled_discharge_temp,R_combined,temp_limit
2016-01-31,566.0,0.0,112730090169.59999,112730090169.59999,0.0,6.666666666666667,11.11111111111111,18.88888888888889,74.0,2162.9,246269120731.776,14598025.0,1395804.0,15402371043376.318,5024894400000.0,18.241966513155763,0.4742727272727273,29.4
2016-02-29,566.0,0.0,107896685068.8,107896685068.8,0.0,5.0,7.777777777777779,18.333333333333336,68.0,2162.9,230380790361.984,15203854.0,1453731.0,16041581008206.332,5233431600000.0,17.595736804594527,0.4742727272727273,29.4
2016-03-31,566.0,0.0,118982284646.4,118982284646.4,0.0,6.666666666666667,9.444444444444445,18.88888888888889,70.0,2162.9,246269120731.776,16249287.0,1553691.0,17144616998827.666,5593287600000.0,18.874258617929527,0.4742727272727273,29.4
2016-04-30,566.0,0.0,52790887296.0,52790887296.0,0.0,8.333333333333334,12.222222222222223,26.666666666666668,86.0,2162.9,238324955546.88,9109045.0,870970.0,9610950175849.941,3135492000000.0,23.757150933617183,0.4742727272727273,29.4
2016-05-31,566.0,0.0,119264770137.6,119264770137.6,0.0,11.666666666666668,16.666666666666668,22.77777777777778,83.0,2162.9,246269120731.776,10901926.0,1042398.0,11502618288393.904,3752632800000.0,19.837550825473983,0.4742727272727273,29.4
2016-06-30,566.0,0.0,108497510207.99998,108497510207.99998,0.0,16.11111111111111,20.0,25.55555555555556,87.0,2162.9,238324955546.88,12103515.0,1157289.0,12770414419695.193,4166240400000.0,26.08282370865729,0.4742727272727273,29.4
2016-07-31,566.0,0.0,126158641401.59999,126158641401.59999,0.0,20.55555555555556,24.444444444444446,31.111111111111114,93.0,2162.9,246269120731.776,16160034.0,1545157.0,17050446189917.938,5562565200000.0,32.00549695437787,0.4742727272727273,29.4
2016-08-31,566.0,0.0,125827564377.6,125827564377.6,0.0,22.22222222222222,26.666666666666668,33.333333333333336,96.0,2162.9,246269120731.776,15331533.0,1465939.0,16176295076201.643,5277380400000.0,33.11372488848208,0.4742727272727273,29.4
2016-09-30,566.0,0.0,122229186624.0,122229186624.0,0.0,21.11111111111111,23.333333333333336,33.333333333333336,95.0,2162.9,238324955546.88,15609937.0,1492559.0,16470039038686.988,5373212400000.0,32.526855059413016,0.4742727272727273,29.4
2016-10-31,566.0,0.0,125847202406.4,125847202406.4,0.0,17.77777777777778,20.55555555555556,30.0,90.0,2162.9,246269120731.776,16126096.0,1541912.0,17014638218053.926,5550883200000.0,29.2319489921936,0.4742727272727273,29.4
2016-11-30,566.0,0.0,118023253632.0,118023253632.0,0.0,12.77777777777778,16.666666666666668,25.55555555555556,82.0,2162.9,238324955546.88,15712839.0,1502398.0,16578610902696.367,5408632800000.0,24.67827420675678,0.4742727272727273,29.4
2016-12-31,566.0,0.0,119415076588.79999,119415076588.79999,0.0,7.777777777777779,12.222222222222223,21.11111111111111,78.0,2162.9,246269120731.776,16248796.0,1553644.0,17144098944900.352,5593118400000.0,19.94075883757805,0.4742727272727273,29.4
2017-01-31,566.0,0.0,117757173772.79999,117757173772.79999,0.0,6.111111111111112,8.333333333333334,18.88888888888889,71.0,2162.9,246269120731.776,16240954.0,1552802.0,17135824853458.383,5590087200000.0,18.43973633768328,0.4742727272727273,29.4
2017-02-28,566.0,0.0,100147861094.4,100147861094.4,0.0,5.0,7.222222222222222,17.77777777777778,67.0,2162.9,222436625177.088,14698201.0,1405299.0,15508066705744.432,5059076400000.0,18.119370214299458,0.4742727272727273,29.4
2017-03-31,566.0,0.0,114064049433.59999,114064049433.59999,0.0,4.444444444444445,6.666666666666667,17.22222222222222,67.0,2162.9,246269120731.776,16205843.0,1549445.0,17098779249706.916,5578002000000.0,17.144725553741054,0.4742727272727273,29.4
2017-04-30,566.0,0.0,56629723968.0,56629723968.0,0.0,7.222222222222222,10.0,21.666666666666668,80.0,2162.9,238324955546.88,9287936.0,888022.0,9799698007033.998,3196879200000.0,21.88327896116106,0.4742727272727273,29.4
2017-05-31,566.0,0.0,126811479974.4,126811479974.4,0.0,11.666666666666668,15.0,24.444444444444446,85.0,2162.9,246269120731.776,15064825.0,1440352.0,15894891559202.814,5185267200000.0,22.285969520514712,0.4742727272727273,29.4
2017-06-30,566.0,0.0,121808325312.0,121808325312.0,0.0,16.666666666666668,20.0,27.77777777777778,87.0,2162.9,238324955546.88,15687238.0,1499861.0,16551599296600.236,5399499600000.0,28.178911321357653,0.4742727272727273,29.4
2017-07-31,566.0,0.0,126041232844.79999,126041232844.79999,0.0,19.444444444444446,22.77777777777778,30.0,90.0,2162.9,246269120731.776,16111251.0,1540401.0,16998975263774.912,5545443600000.0,30.87078379205573,0.4742727272727273,29.4
2017-08-31,566.0,0.0,126199512000.0,126199512000.0,0.0,20.55555555555556,23.333333333333336,31.666666666666668,91.0,2162.9,246269120731.776,16025507.0,1532203.0,16908506799531.068,5515930800000.0,31.906829335198996,0.4742727272727273,29.4
2017-09-30,566.0,0.0,121880363904.0,121880363904.0,0.0,20.0,21.666666666666668,31.111111111111114,90.0,2162.9,238324955546.88,15567701.0,1488432.0,16425475849941.38,5358355200000.0,31.417768725863258,0.4742727272727273,29.4
2017-10-31,566.0,0.0,79305661612.8,79305661612.8,0.0,18.333333333333336,20.55555555555556,30.55555555555556,90.0,2162.9,246269120731.776,10195160.0,974762.0,10756909730363.424,3509143200000.0,29.82492913851317,0.4742727272727273,29.4
2017-11-30,566.0,0.0,143719833600.0,143719833600.0,0.0,13.333333333333334,17.77777777777778,23.88888888888889,86.0,2162.9,238324955546.88,11188087.0,1069696.0,11804546658851.113,3850905600000.0,20.292057493278882,0.4742727272727273,29.4
2017-12-31,566.0,0.0,121563846201.59999,121563846201.59999,0.0,7.777777777777779,13.333333333333334,20.0,75.0,2162.9,246269120731.776,16298939.0,1558346.0,17197004806565.066,5610045600000.0,19.762980524745004,0.4742727272727273,29.4
2018-01-31,566.0,0.0,111169454342.4,111169454342.4,0.0,2.2222222222222223,6.111111111111112,16.11111111111111,65.0,2162.9,246269120731.776,16332231.0,1562198.0,17232131184056.271,5623912800000.0,15.352092503665775,0.4742727272727273,29.4
2018-02-28,566.0,0.0,98695957248.0,98695957248.0,0.0,3.888888888888889,7.222222222222222,16.666666666666668,66.0,2162.9,222436625177.088,14721818.0,1408160.0,15532984994138.336,5069376000000.0,17.219881216925792,0.4742727272727273,29.4
2018-03-31,566.0,0.0,114149818943.99997,114149818943.99997,0.0,5.0,7.777777777777779,16.666666666666668,66.0,2162.9,246269120731.776,16284203.0,1557604.0,17181456858147.713,5607374400000.0,17.749456888161582,0.4742727272727273,29.4
2018-04-30,566.0,0.0,85184051328.0,85184051328.0,0.0,7.222222222222222,11.666666666666668,23.333333333333336,82.0,2162.9,238324955546.88,15718773.0,1503520.0,16584871864009.379,5412672000000.0,23.71374446352001,0.4742727272727273,29.4
2018-05-31,566.0,0.0,92475561542.4,92475561542.4,0.0,11.666666666666668,16.666666666666668,26.666666666666668,87.0,2162.9,246269120731.776,16214711.0,1550957.0,17108135873388.043,5583445200000.0,27.337158954514077,0.4742727272727273,29.4
2018-06-30,566.0,0.0,119658781439.99997,119658781439.99997,0.0,16.11111111111111,20.0,26.666666666666668,87.0,2162.9,238324955546.88,15684754.0,1500266.0,16548978429073.857,5400957600000.0,27.825874876617736,0.4742727272727273,29.4
2018-07-31,566.0,0.0,126199679846.4,126199679846.4,0.0,20.55555555555556,24.444444444444446,31.666666666666668,93.0,2162.9,246269120731.776,16079542.0,1538028.0,16965519109026.963,5536900800000.0,31.942725833219928,0.4742727272727273,29.4
2018-08-31,566.0,0.0,126055164095.99998,126055164095.99998,0.0,22.77777777777778,26.11111111111111,33.333333333333336,95.0,2162.9,246269120731.776,15979721.0,1528480.0,16860198007033.998,5502528000000.0,34.10723082118974,0.4742727272727273,29.4
2018-09-30,566.0,0.0,118504214784.0,118504214784.0,0.0,21.666666666666668,25.0,32.77777777777778,95.0,2162.9,238324955546.88,14607841.0,1397258.0,15412727901524.033,5030128800000.0,32.68339468694031,0.4742727272727273,29.4
2018-10-31,566.0,0.0,86617302566.4,86617302566.4,0.0,17.77777777777778,21.666666666666668,27.222222222222225,88.0,2162.9,246269120731.776,9490437.0,907772.0,10013356740914.418,3267979200000.0,27.570015476158808,0.4742727272727273,29.4
2018-11-30,566.0,0.0,103576145472.0,103576145472.0,0.0,11.666666666666668,15.555555555555555,20.0,76.0,2162.9,238324955546.88,9280519.0,887693.0,9791872332942.555,3195694800000.0,19.67446137060458,0.4742727272727273,29.4
2018-12-31,566.0,0.0,119744139455.99998,119744139455.99998,0.0,7.777777777777779,11.666666666666668,19.444444444444446,74.0,2162.9,246269120731.776,16095517.0,1539556.0,16982374325908.559,5542401600000.0,19.790766279267537,0.4742727272727273,29.4
2019-01-31,566.0,0.0,113348646115.19998,113348646115.19998,0.0,5.555555555555555,8.333333333333334,18.333333333333336,68.0,2162.9,246269120731.776,16256248.0,1556867.0,17151961547479.484,5604721200000.0,18.36535139070454,0.4742727272727273,29.4
2019-02-28,566.0,0.0,96410197900.79999,96410197900.79999,0.0,3.888888888888889,6.111111111111112,17.22222222222222,67.0,2162.9,222436625177.088,14691255.0,1406987.0,15500737983587.34,5065153200000.0,17.49939127728366,0.4742727272727273,29.4
2019-03-31,566.0,0.0,105526424805.12,105526424805.12,0.0,5.0,10.0,18.88888888888889,70.0,2162.9,246269120731.776,16175733.0,1549156.0,17067010199296.602,5576961600000.0,18.691183162841075,0.4742727272727273,29.4
2019-04-30,566.0,0.0,53239841222.4,53239841222.4,0.0,8.333333333333334,13.88888888888889,22.22222222222222,87.0,2162.9,238324955546.88,7891793.0,755800.0,8326628018757.327,2720880000000.0,21.573003323748335,0.4742727272727273,29.4
2019-05-31,566.0,0.0,82334987009.28,82334987009.28,0.0,11.666666666666668,16.666666666666668,23.88888888888889,90.0,2162.9,246269120731.776,10811318.0,1035404.0,11407017819460.727,3727454400000.0,23.39489599903456,0.4742727272727273,29.4
2019-06-30,566.0,0.0,119736789407.99997,119736789407.99997,0.0,16.666666666666668,21.666666666666668,27.77777777777778,87.0,2162.9,238324955546.88,15691752.0,1502805.0,16556362016412.66,5410098000000.0,28.371953394682123,0.4742727272727273,29.4
2019-07-31,566.0,0.0,126263234885.76,126263234885.76,0.0,21.11111111111111,24.444444444444446,31.111111111111114,92.0,2162.9,246269120731.776,16054662.0,1537561.0,16939268229777.258,5535219600000.0,32.46808136661669,0.4742727272727273,29.4
2019-08-31,566.0,0.0,126218134558.07999,126218134558.07999,0.0,21.666666666666668,24.444444444444446,32.22222222222222,93.0,2162.9,246269120731.776,16038029.0,1535968.0,16921718757327.082,5529484800000.0,33.01592489739907,0.4742727272727273,29.4
2019-09-30,566.0,0.0,122214689568.0,122214689568.0,0.0,21.11111111111111,23.333333333333336,32.22222222222222,93.0,2162.9,238324955546.88,15517126.0,1486081.0,16372114185228.605,5349891600000.0,32.451451949353924,0.4742727272727273,29.4
2019-10-31,566.0,0.0,125352752088.95999,125352752088.95999,0.0,17.77777777777778,21.666666666666668,29.444444444444446,91.0,2162.9,246269120731.776,16082948.0,1540270.0,16969112778429.074,5544972000000.0,29.237392392039673,0.4742727272727273,29.4
2019-11-30,566.0,0.0,123215311296.0,123215311296.0,0.0,12.77777777777778,18.333333333333336,23.88888888888889,90.0,2162.9,238324955546.88,15665743.0,1500314.0,16528919929660.021,5401130400000.0,24.133756336054283,0.4742727272727273,29.4
2019-12-31,566.0,0.0,121022608700.16,121022608700.16,0.0,7.777777777777779,11.666666666666668,17.77777777777778,73.0,2162.9,246269120731.776,13847549.0,1326185.0,14610544079718.64,4774266000000.0,17.997630272421002,0.4742727272727273,29.4
2020-01-31,566.0,0.0,110780218540.8,110780218540.8,0.0,6.111111111111112,9.444444444444445,18.88888888888889,71.0,2162.9,246269120731.776,16252501.0,1555862.0,17148008089097.303,5601103200000.0,19.217519934325157,0.4742727272727273,29.4
2020-02-29,566.0,0.0,103130572838.4,103130572838.4,0.0,6.111111111111112,8.333333333333334,18.333333333333336,70.0,2162.9,230380790361.984,15260070.0,1460856.0,16100894490035.17,5259081600000.0,19.329995899499053,0.4742727272727273,29.4
2020-03-31,566.0,0.0,115117705209.59998,115117705209.59998,0.0,7.222222222222222,10.0,19.444444444444446,71.5,2162.9,246269120731.776,16294598.0,1559892.0,17192424618991.793,5615611200000.0,19.8674672714253,0.4742727272727273,29.4
2020-04-30,566.0,0.0,74357390016.0,74357390016.0,0.0,8.333333333333334,11.666666666666668,22.77777777777778,85.0,2162.9,238324955546.88,10290939.0,985158.0,10857966119577.96,3546568800000.0,20.697264751189078,0.4742727272727273,29.4
2020-05-31,566.0,0.0,78138038131.2,78138038131.2,0.0,11.11111111111111,16.11111111111111,22.22222222222222,83.0,2162.9,246269120731.776,9528498.0,912169.0,10053514888628.37,3283808400000.0,22.00511877056368,0.4742727272727273,29.4
2020-06-30,566.0,0.0,110567706047.99998,110567706047.99998,0.0,17.22222222222222,21.11111111111111,26.11111111111111,87.0,2162.9,238324955546.88,14422104.0,1380637.0,15216756858147.713,4970293200000.0,28.87490823349028,0.4742727272727273,29.4
2020-07-31,566.0,0.0,121638789619.20001,121638789619.20001,0.0,21.666666666666668,25.0,31.666666666666668,94.0,2162.9,246269120731.776,16129113.0,1544050.0,17017821453692.848,5558580000000.0,33.51245914084975,0.4742727272727273,29.4
2020-08-31,566.0,0.0,126015888038.4,126015888038.4,0.0,22.77777777777778,25.55555555555556,32.77777777777778,97.0,2162.9,246269120731.776,15792846.0,1511859.0,16663026260257.914,5442692400000.0,33.97372428627613,0.4742727272727273,29.4
2020-09-30,566.0,0.0,121073158079.99998,121073158079.99998,0.0,21.666666666666668,23.88888888888889,32.22222222222222,94.0,2162.9,238324955546.88,15592597.0,1492689.0,16451743610785.46,5373680400000.0,33.17192323037625,0.4742727272727273,29.4
