date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),max_withdrawal_rate_kgM,elc_mmbtu_in,elc_mwh_out,elc_in_kj,elc_out_kj,modeled_discharge_temp,R_combined,temp_limit
2016-01-31,6168.0,0.0,80800082035.2,80800082035.2,0.0,8.88888888888889,13.88888888888889,23.333333333333336,82.0,1959.4,479799144496.512,15249060.0,1458123.0,16089277842907.387,5249242800000.0,24.463096244152037,0.5146363636363637,33.7
2016-02-29,6168.0,0.0,73053930067.2,73053930067.2,0.0,6.388888888888889,7.5,21.944444444444443,73.0,1959.4,448844360980.608,14054109.0,1343861.0,14828485463071.512,4837899600000.0,22.264645795249436,0.5146363636363637,33.7
2016-03-31,6168.0,0.0,78061751942.4,78061751942.4,0.0,9.166666666666668,10.0,22.77777777777778,76.5,1959.4,479799144496.512,8651271.0,827270.0,9127952989449.002,2978172000000.0,18.312187088314793,0.5146363636363637,33.7
2016-04-30,6168.0,0.0,112784009471.99998,112784009471.99998,0.0,15.0,18.611111111111114,25.555555555555557,84.5,1959.4,464321752738.56,12081000.0,1155169.0,12746658851113.717,4158608400000.0,23.83963078095769,0.5146363636363637,33.7
2016-05-31,6168.0,0.0,130598598297.6,130598598297.6,0.0,19.166666666666668,22.77777777777778,28.611111111111114,89.5,1959.4,479799144496.512,15157044.0,1449325.0,15992191793669.404,5217570000000.0,28.744131965133665,0.5146363636363637,33.7
2016-06-30,6168.0,0.0,129990918527.99997,129990918527.99997,0.0,25.833333333333336,27.5,35.27777777777778,98.5,1959.4,464321752738.56,14463206.0,1382940.0,15260123563892.145,4978584000000.0,35.0152258935438,0.5146363636363637,33.7
2016-07-31,6168.0,0.0,135114421766.39998,135114421766.39998,0.0,29.444444444444446,31.666666666666668,38.611111111111114,102.0,1959.4,479799144496.512,14421674.0,1378976.0,15216303165298.945,4964313600000.0,38.252773222325025,0.5146363636363637,33.7
2016-08-31,6168.0,0.0,135305766662.39996,135305766662.39996,0.0,30.55555555555556,31.111111111111114,39.16666666666667,104.5,1959.4,479799144496.512,13811136.0,1320585.0,14572124736225.088,4754106000000.0,38.979095086288254,0.5146363636363637,33.7
2016-09-30,6168.0,0.0,131934985919.99997,131934985919.99997,0.0,28.333333333333336,30.55555555555556,37.22222222222223,103.0,1959.4,464321752738.56,9477101.0,906178.0,9999285932004.69,3262240800000.0,34.2611743824905,0.5146363636363637,33.7
2016-10-31,6168.0,0.0,100977149548.8,100977149548.8,0.0,21.111111111111114,23.055555555555557,28.05555555555556,90.0,1959.4,479799144496.512,10851082.0,1037564.0,11448972801875.732,3735230400000.0,29.979180707997774,0.5146363636363637,33.7
