date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),max_withdrawal_rate_kgM,elc_mmbtu_in,elc_mwh_out,elc_in_kj,elc_out_kj,modeled_discharge_temp,R_combined,temp_limit
2016-01-31,6099.0,0.0,289768178649.6,289768178649.6,0.0,13.88888888888889,14.444444444444445,24.444444444444446,77.0,2323.0,291093265552.896,17676946.0,1690198.0,18650939507620.164,6084712800000.0,24.261164111119783,0.0,31.1
2016-02-29,6099.0,0.0,271073457446.4,271073457446.4,0.0,13.333333333333334,13.88888888888889,23.88888888888889,76.0,2323.0,272313054872.064,16550691.0,1582510.0,17462628253223.916,5697036000000.0,23.714511169039547,0.0,31.1
2016-03-31,6099.0,0.0,289768178649.6,289768178649.6,0.0,12.77777777777778,14.444444444444445,22.77777777777778,77.0,2323.0,291093265552.896,17726614.0,1694947.0,18703344196951.934,6101809200000.0,23.17919677586887,0.0,31.1
2016-04-30,6099.0,0.0,280082472192.0,280082472192.0,0.0,11.11111111111111,12.222222222222223,21.666666666666668,73.0,2323.0,281703160212.48,17102827.0,1635303.0,18045186752637.75,5887090800000.0,21.493552015933446,0.0,31.1
2016-05-31,6099.0,0.0,152343938649.59998,152343938649.59998,0.0,11.11111111111111,12.222222222222223,21.11111111111111,72.0,2323.0,291093265552.896,8883487.0,846524.0,9372964009378.664,3047486400000.0,21.041996635809802,0.0,31.1
2016-06-30,6099.0,0.0,270832781952.0,270832781952.0,0.0,11.11111111111111,12.222222222222223,21.11111111111111,72.0,2323.0,281703160212.48,15961071.0,1526133.0,16840520398593.201,5494078800000.0,21.131354805639884,0.0,31.1
2016-07-31,6099.0,0.0,289768178649.6,289768178649.6,0.0,12.222222222222223,13.333333333333334,22.22222222222222,75.0,2323.0,291093265552.896,17732062.0,1695468.0,18709092379835.875,6103684800000.0,22.626837684648052,0.0,31.1
2016-08-31,6099.0,0.0,289768178649.6,289768178649.6,0.0,12.77777777777778,13.88888888888889,23.333333333333336,76.0,2323.0,291093265552.896,17631609.0,1685863.0,18603104454865.184,6069106800000.0,23.123450853389457,0.0,31.1
2016-09-30,6099.0,0.0,280420818047.99994,280420818047.99994,0.0,13.333333333333334,15.0,23.88888888888889,78.0,2323.0,281703160212.48,17053703.0,1630606.0,17993356037514.656,5870181600000.0,23.67346180499221,0.0,31.1
2016-10-31,6099.0,0.0,278928154598.4,278928154598.4,0.0,13.88888888888889,15.555555555555555,24.444444444444446,79.0,2323.0,291093265552.896,16782043.0,1604631.0,17706727667057.445,5776671600000.0,24.118755328441985,0.0,31.1
2016-11-30,6099.0,0.0,279292727807.99994,279292727807.99994,0.0,13.88888888888889,15.0,24.444444444444446,78.0,2323.0,281703160212.48,16964178.0,1622046.0,17898898241500.586,5839365600000.0,24.216281366587538,0.0,31.1
2016-12-31,6099.0,0.0,289768178649.6,289768178649.6,0.0,12.77777777777778,12.77777777777778,22.77777777777778,74.0,2323.0,291093265552.896,17709901.0,1693349.0,18685710316529.895,6096056400000.0,23.169390026480837,0.0,31.1
2017-01-31,6099.0,0.0,284458861324.8,284458861324.8,0.0,12.77777777777778,13.333333333333334,23.333333333333336,76.0,2323.0,291093265552.896,17206645.0,1645132.0,18154725087924.973,5922475200000.0,23.062834939450433,0.0,31.1
2017-02-28,6099.0,0.0,261726096844.8,261726096844.8,0.0,12.77777777777778,13.333333333333334,23.333333333333336,76.0,2323.0,262922949531.64792,15964447.0,1526365.0,16844082415005.861,5494914000000.0,23.149164891050805,0.0,31.1
2017-03-31,6099.0,0.0,276336941875.2,276336941875.2,0.0,11.11111111111111,12.77777777777778,21.666666666666668,74.0,2323.0,291093265552.896,16411846.0,1569141.0,17316132942555.686,5648907600000.0,21.209415826018073,0.0,31.1
2017-04-30,6099.0,0.0,245968341120.0,245968341120.0,0.0,10.555555555555555,11.666666666666668,21.11111111111111,73.0,2323.0,281703160212.48,14777366.0,1412868.0,15591593669402.111,5086324800000.0,20.770777159238662,0.0,31.1
2017-05-31,6099.0,0.0,149080165401.6,149080165401.6,0.0,10.0,10.555555555555555,20.55555555555556,71.0,2323.0,291093265552.896,8792340.0,840135.0,9276794841735.053,3024486000000.0,20.030911274420685,0.0,31.1
2017-06-30,6099.0,0.0,198979200000.0,198979200000.0,0.0,10.555555555555555,12.77777777777778,20.55555555555556,72.0,2323.0,281703160212.48,10038995.0,959831.0,10592140093786.635,3455391600000.0,19.13407903081869,0.0,31.1
2017-07-31,6099.0,0.0,289768178649.6,289768178649.6,0.0,12.222222222222223,13.333333333333334,22.77777777777778,76.0,2323.0,291093265552.896,17236768.0,1648012.0,18186507854630.715,5932843200000.0,22.3365059476368,0.0,31.1
