,Plant ID,Plant Name,m,b,rsquared
0,2589.0,Nine Mile Point Nuclear Station,3.0627488410681143,2575186099.1362305,0.9999731907344374
1,3265.0,Oconee,3.061974083754925,8486187103.310547,0.9999481447380941
2,6000.0,Donald C Cook,3.0632367971883587,257969034.51000977,0.999990727667237
3,4046.0,Point Beach Nuclear Plant,3.0633461456805837,364542950.2714844,0.9999715341498283
4,46.0,Browns Ferry,3.0590464699177162,34454951291.15527,0.9999784353396383
5,8036.0,Cooper Nuclear Station,3.0628853368064695,682977067.3961182,0.9999919411801758
6,3806.0,Surry,3.063293058402979,50460760.20062256,0.9999784050738684
7,6045.0,St Lucie,3.0555351253524803,39982041578.38916,0.9999650979163244
8,880.0,Quad Cities Generating Station,3.0627978099661295,2328033872.8710938,0.999934367153348
9,6099.0,Diablo Canyon,3.0625597466229273,5965343402.56543,0.999988281793041
10,6110.0,James A Fitzpatrick,3.061718478264262,2810172258.133301,0.9999918545703624
11,6115.0,Seabrook,3.063303191552632,-70545059.32269287,0.9999904080329983
12,6038.0,McGuire,3.063208825565475,537663252.0234375,0.9999714351323538
13,566.0,Millstone,3.063455925540196,-702513832.7412109,0.999985828903931
14,6014.0,Brunswick Nuclear,3.0635799896138405,-1135991395.8795166,0.9999840766211763
15,6011.0,Calvert Cliffs Nuclear Power Plant,3.062680351156663,2762294227.185547,0.9999545983229168
16,6168.0,North Anna,3.063701016419518,-2038489134.9277344,0.9999794081705827
